@relation processedData

@attribute tweet STRING
@attribute sentiment {positive, negative}

@data
'USERNAME Премијер би рекао \"олош\"  ', positive
'USERNAME што доаѓа прво љубовта или револуцијата ?  ', positive
'USERNAME Ја сум таму  (читај: најпаметен, најзгоден, најчист, нај нај) ', positive
'Али када питаш Сири да ти нађе најближу апотеку па нађе неку 4 км од тебе  ', positive
'USERNAME USERNAME Зато летите у Микију или Новаку  ', positive
'USERNAME значи ти си више за два плус прво, два плус друго  ', positive
'USERNAME јас? Пффф, тој вчера што дојде кај тебе е најголемиот инвалид  ', positive
'USERNAME во секој случај рано е за џин  ', positive
'Неделна ноќна прошетка која започнува со дегустација на смути за енергија  URL URL ', positive
'USERNAME Не е цинизиам Антонио, озбилна е понудата!  Не сакаме да бидеш незадоволен, не е тоа идејата зад промоцијата... Welcome. ', positive
'USERNAME да не знаш!? Ево, са\'ћу, да не знамо заједно.  ', positive
'USERNAME значи значи и на фб решиле да ги зачистат. Му прават овертинкинг на #вмРОБОТ.от забавно вкрај  ', positive
'Ракоплескање  ', positive
'USERNAME хахаха дај ти се молам, од сите овој ли? Па најглуп е, само личен вкус искажувам  ', positive
'USERNAME и јас  ', negative
'Ровно год назад  URL ', positive
'USERNAME фала фала  Демир Хисар ', positive
'USERNAME абе и во битола имает ама нашево со најмногу стаж е  ', positive
'USERNAME купи 50 евра и тргувај на берза со акции од мајкрософт  ', positive
'USERNAME Хвала на препоруци  Водио сам је у Топчидерски парк па је јахала и понија и великог коња  ', positive
'3 литра спирта  ', positive
'USERNAME siuuuuu :))) п.с. немаме гајле кој и да се падне, нека му ја мислат другите  ', positive
'ЦАРИЦА! Норвешката премиерка од претходно е позната како вљубеничка во компјутерските игри!  URL ', positive
'некои од нив ќе чекаат да дојде утрешниот ден  ', negative
'USERNAME викај ВМРО  ', positive
'USERNAME не претеруј сеа  ', positive
'USERNAME Или после дркање  ', positive
'USERNAME Атлас Глобал, да  ', positive
'USERNAME БРО, НИШТА ИСПОД ДВА ТРИ ДЕЦИ  ', positive
'USERNAME нешо брчки актинг аут, кент хев дет  ', positive
'не ја постирам нована...  URL ', positive
'USERNAME   се се плашам парите да не отидат за некој коњ на плоштад  ', negative
